Word name	Part of speech	Definition
Beaded	imp. & p. p.	of Bead
Beading	p. pr. & vb. n.	of Bead
Bead	v. t.	To ornament with beads or beading.
Bead	v. i.	To form beadlike bubbles.
Beadhouse	n.	Alt. of Bedehouse
Bedehouse	n.	An almshouse for poor people who pray daily for their benefactors.
Beading	n.	Molding in imitation of beads.
Beading	n.	The beads or bead-forming quality of certain liquors; as, the beading of a brand of whisky.
Beadle	v.	A messenger or crier of a court; a servitor; one who cites or bids persons to appear and answer; -- called also an apparitor or summoner.
Beadle	v.	An officer in a university, who precedes public processions of officers and students.
Beadle	v.	An inferior parish officer in England having a variety of duties, as the preservation of order in church service, the chastisement of petty offenders, etc.
Beadlery	n.	Office or jurisdiction of a beadle.
Beadleship	n.	The state of being, or the personality of, a beadle.
Bead proof		Among distillers, a certain degree of strength in alcoholic liquor, as formerly ascertained by the floating or sinking of glass globules of different specific gravities thrown into it; now ascertained by more accurate meters.
Bead proof		A degree of strength in alcoholic liquor as shown by beads or small bubbles remaining on its surface, or at the side of the glass, when shaken.
Beadroll	n.	A catalogue of persons, for the rest of whose souls a certain number of prayers are to be said or counted off on the beads of a chaplet; hence, a catalogue in general.
-men	pl.	of Bedesman
Beadsman	n.	Alt. of Bedesman
Bedesman	n.	A poor man, supported in a beadhouse, and required to pray for the soul of its founder; an almsman.
Beadsnake	n.	A small poisonous snake of North America (Elaps fulvius), banded with yellow, red, and black.
-women	pl.	of Bedeswoman
Beadswoman	n.	Alt. of Bedeswoman
Bedeswoman	n.	Fem. of Beadsman.
Beadwork	n.	Ornamental work in beads.
Beady	a.	Resembling beads; small, round, and glistening.
Beady	a.	Covered or ornamented with, or as with, beads.
Beady	a.	Characterized by beads; as, beady liquor.
Beagle	n.	A small hound, or hunting dog, twelve to fifteen inches high, used in hunting hares and other small game. See Illustration in Appendix.
Beagle	n.	Fig.: A spy or detective; a constable.
Beak	n.	The bill or nib of a bird, consisting of a horny sheath, covering the jaws. The form varied much according to the food and habits of the bird, and is largely used in the classification of birds.
Beak	n.	A similar bill in other animals, as the turtles.
Beak	n.	The long projecting sucking mouth of some insects, and other invertebrates, as in the Hemiptera.
Beak	n.	The upper or projecting part of the shell, near the hinge of a bivalve.
Beak	n.	The prolongation of certain univalve shells containing the canal.
Beak	n.	Anything projecting or ending in a point, like a beak, as a promontory of land.
Beak	n.	A beam, shod or armed at the end with a metal head or point, and projecting from the prow of an ancient galley, in order to pierce the vessel of an enemy; a beakhead.
Beak	n.	That part of a ship, before the forecastle, which is fastened to the stem, and supported by the main knee.
Beak	n.	A continuous slight projection ending in an arris or narrow fillet; that part of a drip from which the water is thrown off.
Beak	n.	Any process somewhat like the beak of a bird, terminating the fruit or other parts of a plant.
Beak	n.	A toe clip. See Clip, n. (Far.).
Beak	n.	A magistrate or policeman.
Beaked	a.	Having a beak or a beaklike point; beak-shaped.
Beaked	a.	Furnished with a process or a mouth like a beak; rostrate.
Beaker	n.	A large drinking cup, with a wide mouth, supported on a foot or standard.
Beaker	n.	An open-mouthed, thin glass vessel, having a projecting lip for pouring; -- used for holding solutions requiring heat.
Beakhead	n.	An ornament used in rich Norman doorways, resembling a head with a beak.
Beakhead	n.	A small platform at the fore part of the upper deck of a vessel, which contains the water closets of the crew.
Beakhead	n.	Same as Beak, 3.
Beakiron	n.	A bickern; a bench anvil with a long beak, adapted to reach the interior surface of sheet metal ware; the horn of an anvil.
Bealed	imp. & p. p.	of Beal
Bealing	p. pr & vb. n.	of Beal
Beal	v. i.	To gather matter; to swell and come to a head, as a pimple.
Be-all	n.	The whole; all that is to be.
Beam	n.	Any large piece of timber or iron long in proportion to its thickness, and prepared for use.
Beam	n.	One of the principal horizontal timbers of a building or ship.
Beam	n.	The width of a vessel; as, one vessel is said to have more beam than another.
Beam	n.	The bar of a balance, from the ends of which the scales are suspended.
Beam	n.	The principal stem or horn of a stag or other deer, which bears the antlers, or branches.
Beam	n.	The pole of a carriage.
Beam	n.	A cylinder of wood, making part of a loom, on which weavers wind the warp before weaving; also, the cylinder on which the cloth is rolled, as it is woven; one being called the fore beam, the other the back beam.
Beam	n.	The straight part or shank of an anchor.
Beam	n.	The main part of a plow, to which the handles and colter are secured, and to the end of which are attached the oxen or horses that draw it.
Beam	n.	A heavy iron lever having an oscillating motion on a central axis, one end of which is connected with the piston rod from which it receives motion, and the other with the crank of the wheel shaft; -- called also working beam or walking beam.
Beam	n.	A ray or collection of parallel rays emitted from the sun or other luminous body; as, a beam of light, or of heat.
Beam	n.	Fig.: A ray; a gleam; as, a beam of comfort.
Beam	n.	One of the long feathers in the wing of a hawk; -- called also beam feather.
Beamed	imp. & p. p.	of Beam
Beaming	p. pr. & vb. n.	of Beam
Beam	v. t.	To send forth; to emit; -- followed ordinarily by forth; as, to beam forth light.
Beam	v. i.	To emit beams of light.
Beambird	n.	A small European flycatcher (Muscicapa gricola), so called because it often nests on a beam in a building.
Beamed	a.	Furnished with beams, as the head of a stag.
Beamful	a.	Beamy; radiant.
Beamily	adv.	In a beaming manner.
Beaminess	n.	The state of being beamy.
Beaming	a.	Emitting beams; radiant.
Beamingly	adv.	In a beaming manner; radiantly.
Beamless	a.	Not having a beam.
Beamless	a.	Not emitting light.
Beamlet	n.	A small beam of light.
Beam tree		A tree (Pyrus aria) related to the apple.
Beamy	a.	Emitting beams of light; radiant; shining.
Beamy	a.	Resembling a beam in size and weight; massy.
Beamy	a.	Having horns, or antlers.
Bean	n.	A name given to the seed of certain leguminous herbs, chiefly of the genera Faba, Phaseolus, and Dolichos; also, to the herbs.
Bean	n.	The popular name of other vegetable seeds or fruits, more or less resembling true beans.
Bean caper		A deciduous plant of warm climates, generally with fleshy leaves and flowers of a yellow or whitish yellow color, of the genus Zygophyllum.
Bean trefoil		A leguminous shrub of southern Europe, with trifoliate leaves (Anagyris foetida).
Bore	imp.	of Bear
Bare		of Bear
Born	p. p.	of Bear
Borne		of Bear
Bearing	p. pr. & vb. n.	of Bear
Bear	v. t.	To support or sustain; to hold up.
Bear	v. t.	To support and remove or carry; to convey.
Bear	v. t.	To conduct; to bring; -- said of persons.
Bear	v. t.	To possess and use, as power; to exercise.
Bear	v. t.	To sustain; to have on (written or inscribed, or as a mark), as, the tablet bears this inscription.
Bear	v. t.	To possess or carry, as a mark of authority or distinction; to wear; as, to bear a sword, badge, or name.
Bear	v. t.	To possess mentally; to carry or hold in the mind; to entertain; to harbor
Bear	v. t.	To endure; to tolerate; to undergo; to suffer.
Bear	v. t.	To gain or win.
Bear	v. t.	To sustain, or be answerable for, as blame, expense, responsibility, etc.
Bear	v. t.	To render or give; to bring forward.
Bear	v. t.	To carry on, or maintain; to have.
Bear	v. t.	To admit or be capable of; that is, to suffer or sustain without violence, injury, or change.
Bear	v. t.	To manage, wield, or direct.
Bear	v. t.	To behave; to conduct.
Bear	v. t.	To afford; to be to; to supply with.
Bear	v. t.	To bring forth or produce; to yield; as, to bear apples; to bear children; to bear interest.
Bear	v. i.	To produce, as fruit; to be fruitful, in opposition to barrenness.
Bear	v. i.	To suffer, as in carrying a burden.
Bear	v. i.	To endure with patience; to be patient.
Bear	v. i.	To press; -- with on or upon, or against.
Bear	v. i.	To take effect; to have influence or force; as, to bring matters to bear.
Bear	v. i.	To relate or refer; -- with on or upon; as, how does this bear on the question?
Bear	v. i.	To have a certain meaning, intent, or effect.
Bear	v. i.	To be situated, as to the point of compass, with respect to something else; as, the land bears N. by E.
Bear	n.	A bier.
Bear	n.	Any species of the genus Ursus, and of the closely allied genera. Bears are plantigrade Carnivora, but they live largely on fruit and insects.
Bear	n.	An animal which has some resemblance to a bear in form or habits, but no real affinity; as, the woolly bear; ant bear; water bear; sea bear.
Bear	n.	One of two constellations in the northern hemisphere, called respectively the Great Bear and the Lesser Bear, or Ursa Major and Ursa Minor.
Bear	n.	Metaphorically: A brutal, coarse, or morose person.
Bear	n.	A person who sells stocks or securities for future delivery in expectation of a fall in the market.
Bear	n.	A portable punching machine.
Bear	n.	A block covered with coarse matting; -- used to scour the deck.
Bear	v. t.	To endeavor to depress the price of, or prices in; as, to bear a railroad stock; to bear the market.
Bear	n.	Alt. of Bere
Bere	n.	Barley; the six-rowed barley or the four-rowed barley, commonly the former (Hord. vulgare).
Bearable	a.	Capable of being borne or endured; tolerable.
Bearberry	n.	A trailing plant of the heath family (Arctostaphylos uva-ursi), having leaves which are tonic and astringent, and glossy red berries of which bears are said to be fond.
Bearbind	n.	The bindweed (Convolvulus arvensis).
Beard	n.	The hair that grows on the chin, lips, and adjacent parts of the human face, chiefly of male adults.
Beard	n.	The long hairs about the face in animals, as in the goat.
Beard	n.	The cluster of small feathers at the base of the beak in some birds
Beard	n.	The appendages to the jaw in some Cetacea, and to the mouth or jaws of some fishes.
Beard	n.	The byssus of certain shellfish, as the muscle.
Beard	n.	The gills of some bivalves, as the oyster.
Beard	n.	In insects, the hairs of the labial palpi of moths and butterflies.
Beard	n.	Long or stiff hairs on a plant; the awn; as, the beard of grain.
Beard	n.	A barb or sharp point of an arrow or other instrument, projecting backward to prevent the head from being easily drawn out.
Beard	n.	That part of the under side of a horse's lower jaw which is above the chin, and bears the curb of a bridle.
Beard	n.	That part of a type which is between the shoulder of the shank and the face.
Beard	n.	An imposition; a trick.
Bearded	imp. & p. p.	of Beard
Bearding	p. pr. & vb. n.	of Beard
Beard	v. t.	To take by the beard; to seize, pluck, or pull the beard of (a man), in anger or contempt.
Beard	v. t.	To oppose to the gills; to set at defiance.
Beard	v. t.	To deprive of the gills; -- used only of oysters and similar shellfish.
Bearded	a.	Having a beard.
Beardie	n.	The bearded loach (Nemachilus barbatus) of Europe.
Beardless	a.	Without a beard. Hence: Not having arrived at puberty or manhood; youthful.
Beardless	a.	Destitute of an awn; as, beardless wheat.
Beardlessness	n.	The state or quality of being destitute of beard.
Bearer	n.	One who, or that which, bears, sustains, or carries.
Bearer	n.	Specifically: One who assists in carrying a body to the grave; a pallbearer.
Bearer	n.	A palanquin carrier; also, a house servant.
Bearer	n.	A tree or plant yielding fruit; as, a good bearer.
Bearer	n.	One who holds a check, note, draft, or other order for the payment of money; as, pay to bearer.
Bearer	n.	A strip of reglet or other furniture to bear off the impression from a blank page; also, a type or type-high piece of metal interspersed in blank parts to support the plate when it is shaved.
Bearherd	n.	A man who tends a bear.
Bearhound	n.	A hound for baiting or hunting bears.
Bearing	n.	The manner in which one bears or conducts one's self; mien; behavior; carriage.
Bearing	n.	Patient endurance; suffering without complaint.
Bearing	n.	The situation of one object, with respect to another, such situation being supposed to have a connection with the object, or influence upon it, or to be influenced by it; hence, relation; connection.
